;América-MG;Athletico-PR;Atlético-MG;Bahia;Botafogo;Bragantino;Corinthians;Coritiba;Cruzeiro;Cuiabá;Flamengo;Fluminense;Fortaleza;Goiás;Grêmio;Internacional;Palmeiras;Santos;São Paulo;Vasco
América-MG;0 Km;821 Km;1 Km;966 Km;349 Km;423 Km;493 Km;821 Km;1 Km;1374 Km;349 Km;349 Km;1895 Km;667 Km;1343 Km;1343 Km;493 Km;513 Km;493 Km;349 Km
Athletico-PR;821 Km;0 Km;821 Km;1788 Km;674 Km;392 Km;337 Km;1 Km;821 Km;1304 Km;674 Km;674 Km;2673 Km;975 Km;546 Km;546 Km;337 Km;340 Km;337 Km;674 Km
Atlético-MG;1 Km;821 Km;0 Km;966 Km;349 Km;423 Km;493 Km;821 Km;1 Km;1374 Km;349 Km;349 Km;1895 Km;667 Km;1343 Km;1343 Km;493 Km;513 Km;493 Km;349 Km
Bahia;966 Km;1788 Km;966 Km;0 Km;1212 Km;1398 Km;1458 Km;1788 Km;966 Km;1918 Km;1212 Km;1212 Km;1029 Km;1227 Km;2306 Km;2306 Km;1458 Km;1474 Km;1458 Km;1212 Km
Botafogo;349 Km;674 Km;349 Km;1212 Km;0 Km;343 Km;360 Km;674 Km;349 Km;1577 Km;1 Km;1 Km;2192 Km;938 Km;1125 Km;1125 Km;360 Km;340 Km;360 Km;1 Km
Bragantino;430 Km;392 Km;430 Km;1398 Km;343 Km;0 Km;69 Km;392 Km;430 Km;1293 Km;343 Km;343 Km;2306 Km;753 Km;916 Km;916 Km;69 Km;115 Km;69 Km;343 Km
Corinthians;491 Km;338 Km;491 Km;1458 Km;360 Km;69 Km;0 Km;338 Km;491 Km;1327 Km;360 Km;360 Km;2373 Km;813 Km;851 Km;851 Km;1 Km;56 Km;1 Km;360 Km
Coritiba;821 Km;1 Km;821 Km;1788 Km;674 Km;392 Km;337 Km;0 Km;821 Km;1304 Km;674 Km;674 Km;2673 Km;975 Km;546 Km;546 Km;337 Km;340 Km;337 Km;674 Km
Cruzeiro;1 Km;821 Km;1 Km;966 Km;349 Km;423 Km;493 Km;821 Km;0 Km;1374 Km;349 Km;349 Km;1895 Km;667 Km;1343 Km;1343 Km;493 Km;513 Km;493 Km;349 Km
Cuiabá;1375 Km;1304 Km;1375 Km;1918 Km;1582 Km;1294 Km;1327 Km;1304 Km;1375 Km;0 Km;1582 Km;1582 Km;2331 Km;741 Km;1681 Km;1681 Km;1327 Km;1381 Km;1327 Km;1582 Km
Flamengo;349 Km;674 Km;349 Km;1212 Km;1 Km;343 Km;360 Km;674 Km;349 Km;1577 Km;0 Km;1 Km;2192 Km;938 Km;1125 Km;1125 Km;360 Km;340 Km;360 Km;1 Km
Fluminense;349 Km;674 Km;349 Km;1212 Km;1 Km;343 Km;360 Km;674 Km;349 Km;1577 Km;1 Km;0 Km;2192 Km;938 Km;1125 Km;1125 Km;360 Km;340 Km;360 Km;1 Km
Fortaleza;1897 Km;2674 Km;1897 Km;1029 Km;2200 Km;2306 Km;2373 Km;2674 Km;1897 Km;2331 Km;2200 Km;2200 Km;0 Km;1857 Km;3217 Km;3217 Km;2373 Km;2401 Km;2373 Km;2200 Km
Goiás;670 Km;975 Km;670 Km;1227 Km;946 Km;754 Km;813 Km;975 Km;670 Km;741 Km;946 Km;946 Km;1857 Km;0 Km;1499 Km;1499 Km;813 Km;866 Km;813 Km;946 Km
Grêmio;1341 Km;546 Km;1341 Km;2305 Km;1120 Km;915 Km;850 Km;546 Km;1341 Km;1680 Km;1120 Km;1120 Km;3215 Km;1498 Km;0 Km;1 Km;850 Km;831 Km;850 Km;1120 Km
Internacional;1341 Km;546 Km;1341 Km;2305 Km;1120 Km;915 Km;850 Km;546 Km;1341 Km;1680 Km;1120 Km;1120 Km;3215 Km;1498 Km;1 Km;0 Km;850 Km;831 Km;850 Km;1120 Km
Palmeiras;491 Km;338 Km;491 Km;1458 Km;360 Km;69 Km;1 Km;338 Km;491 Km;1327 Km;360 Km;360 Km;2373 Km;813 Km;851 Km;851 Km;0 Km;56 Km;1 Km;360 Km
Santos;511 Km;341 Km;511 Km;1474 Km;338 Km;115 Km;56 Km;341 Km;511 Km;1381 Km;338 Km;338 Km;2401 Km;866 Km;832 Km;832 Km;56 Km;0 Km;56 Km;338 Km
São Paulo;491 Km;338 Km;491 Km;1458 Km;360 Km;69 Km;1 Km;338 Km;491 Km;1327 Km;360 Km;360 Km;2373 Km;813 Km;851 Km;851 Km;1 Km;56 Km;0 Km;360 Km
Vasco;349 Km;674 Km;349 Km;1212 Km;1 Km;343 Km;360 Km;674 Km;349 Km;1577 Km;1 Km;1 Km;2192 Km;938 Km;1125 Km;1125 Km;360 Km;340 Km;360 Km;0 Km
