Rodada;Time mandante;;Time visitante
1;Flamengo;X;Coritiba
1;Botafogo;X;São Paulo
1;Palmeiras;X;Cuiabá
1;Corinthians;X;Cruzeiro
1;Bragantino;X;Bahia
1;Atlético-MG;X;Vasco
1;Grêmio;X;Santos
1;Athletico-PR;X;Goiás
1;Fortaleza;X;Internacional
1;América-MG;X;Fluminense
2;Fluminense;X;Athletico-PR
2;Vasco;X;Palmeiras
2;São Paulo;X;América-MG
2;Santos;X;Atlético-MG
2;Goiás;X;Corinthians
2;Cruzeiro;X;Grêmio
2;Internacional;X;Flamengo
2;Coritiba;X;Fortaleza
2;Bahia;X;Botafogo
2;Cuiabá;X;Bragantino
3;Flamengo;X;Botafogo
3;Vasco;X;Bahia
3;Palmeiras;X;Corinthians
3;Santos;X;América-MG
3;Bragantino;X;Cruzeiro
3;Atlético-MG;X;Athletico-PR
3;Internacional;X;Goiás
3;Coritiba;X;São Paulo
3;Fortaleza;X;Fluminense
3;Cuiabá;X;Grêmio
4;Fluminense;X;Vasco
4;Botafogo;X;Atlético-MG
4;São Paulo;X;Internacional
4;Corinthians;X;Fortaleza
4;Goiás;X;Palmeiras
4;Cruzeiro;X;Santos
4;Grêmio;X;Bragantino
4;Athletico-PR;X;Flamengo
4;Bahia;X;Coritiba
4;América-MG;X;Cuiabá
5;Flamengo;X;Goiás
5;Botafogo;X;Corinthians
5;Palmeiras;X;Grêmio
5;Santos;X;Bahia
5;Bragantino;X;América-MG
5;Cruzeiro;X;Fluminense
5;Internacional;X;Athletico-PR
5;Coritiba;X;Vasco
5;Fortaleza;X;São Paulo
5;Cuiabá;X;Atlético-MG
6;Fluminense;X;Cuiabá
6;Vasco;X;Santos
6;Palmeiras;X;Bragantino
6;Corinthians;X;São Paulo
6;Goiás;X;Botafogo
6;Atlético-MG;X;Internacional
6;Grêmio;X;Fortaleza
6;Athletico-PR;X;Coritiba
6;Bahia;X;Flamengo
6;América-MG;X;Cruzeiro
7;Flamengo;X;Corinthians
7;Botafogo;X;Fluminense
7;São Paulo;X;Vasco
7;Santos;X;Palmeiras
7;Bragantino;X;Athletico-PR
7;Cruzeiro;X;Cuiabá
7;Grêmio;X;Internacional
7;Coritiba;X;Atlético-MG
7;Bahia;X;Goiás
7;América-MG;X;Fortaleza
8;Flamengo;X;Cruzeiro
8;Botafogo;X;América-MG
8;São Paulo;X;Goiás
8;Corinthians;X;Fluminense
8;Bragantino;X;Santos
8;Atlético-MG;X;Palmeiras
8;Internacional;X;Bahia
8;Athletico-PR;X;Grêmio
8;Fortaleza;X;Vasco
8;Cuiabá;X;Coritiba
9;Fluminense;X;Bragantino
9;Vasco;X;Flamengo
9;Palmeiras;X;Coritiba
9;Santos;X;Internacional
9;Goiás;X;Cuiabá
9;Cruzeiro;X;Atlético-MG
9;Grêmio;X;São Paulo
9;Athletico-PR;X;Botafogo
9;Fortaleza;X;Bahia
9;América-MG;X;Corinthians
10;Flamengo;X;Grêmio
10;Botafogo;X;Fortaleza
10;São Paulo;X;Palmeiras
10;Corinthians;X;Cuiabá
10;Goiás;X;Fluminense
10;Atlético-MG;X;Bragantino
10;Internacional;X;Vasco
10;Coritiba;X;Santos
10;Bahia;X;Cruzeiro
10;América-MG;X;Athletico-PR
11;Fluminense;X;Atlético-MG
11;Vasco;X;Goiás
11;São Paulo;X;Athletico-PR
11;Santos;X;Corinthians
11;Bragantino;X;Flamengo
11;Cruzeiro;X;Fortaleza
11;Grêmio;X;América-MG
11;Coritiba;X;Internacional
11;Bahia;X;Palmeiras
11;Cuiabá;X;Botafogo
12;Fluminense;X;Bahia
12;Vasco;X;Cuiabá
12;Palmeiras;X;Botafogo
12;Santos;X;Flamengo
12;Bragantino;X;Goiás
12;Cruzeiro;X;São Paulo
12;Grêmio;X;Coritiba
12;Athletico-PR;X;Corinthians
12;Fortaleza;X;Atlético-MG
12;América-MG;X;Internacional
13;Flamengo;X;Fortaleza
13;Botafogo;X;Vasco
13;São Paulo;X;Fluminense
13;Corinthians;X;Bragantino
13;Goiás;X;Coritiba
13;Atlético-MG;X;América-MG
13;Internacional;X;Cruzeiro
13;Athletico-PR;X;Palmeiras
13;Bahia;X;Grêmio
13;Cuiabá;X;Santos
14;Fluminense;X;Internacional
14;Vasco;X;Cruzeiro
14;Palmeiras;X;Flamengo
14;Santos;X;Goiás
14;Bragantino;X;São Paulo
14;Atlético-MG;X;Corinthians
14;Grêmio;X;Botafogo
14;Coritiba;X;América-MG
14;Fortaleza;X;Athletico-PR
14;Cuiabá;X;Bahia
15;Fluminense;X;Flamengo
15;Botafogo;X;Bragantino
15;São Paulo;X;Santos
15;Corinthians;X;Grêmio
15;Goiás;X;Atlético-MG
15;Cruzeiro;X;Coritiba
15;Internacional;X;Palmeiras
15;Athletico-PR;X;Bahia
15;Fortaleza;X;Cuiabá
15;América-MG;X;Vasco
16;Flamengo;X;América-MG
16;Vasco;X;Athletico-PR
16;Palmeiras;X;Fortaleza
16;Santos;X;Botafogo
16;Bragantino;X;Internacional
16;Cruzeiro;X;Goiás
16;Grêmio;X;Atlético-MG
16;Coritiba;X;Fluminense
16;Bahia;X;Corinthians
16;Cuiabá;X;São Paulo
17;Fluminense;X;Santos
17;Botafogo;X;Coritiba
17;São Paulo;X;Bahia
17;Corinthians;X;Vasco
17;Goiás;X;Grêmio
17;Atlético-MG;X;Flamengo
17;Internacional;X;Cuiabá
17;Athletico-PR;X;Cruzeiro
17;Fortaleza;X;Bragantino
17;América-MG;X;Palmeiras
18;Fluminense;X;Palmeiras
18;Vasco;X;Grêmio
18;São Paulo;X;Atlético-MG
18;Santos;X;Athletico-PR
18;Goiás;X;Fortaleza
18;Cruzeiro;X;Botafogo
18;Internacional;X;Corinthians
18;Coritiba;X;Bragantino
18;Bahia;X;América-MG
18;Cuiabá;X;Flamengo
19;Flamengo;X;São Paulo
19;Botafogo;X;Internacional
19;Palmeiras;X;Cruzeiro
19;Corinthians;X;Coritiba
19;Bragantino;X;Vasco
19;Atlético-MG;X;Bahia
19;Grêmio;X;Fluminense
19;Athletico-PR;X;Cuiabá
19;Fortaleza;X;Santos
19;América-MG;X;Goiás
